
        ➜ Implicit dependency on target 'shared_preferences_foundation' in project 'Pods' via options '-framework shared_preferences_foundation' in build setting 'OTHER_LDFLAGS'
        ➜ Implicit dependency on target 'wakelock_plus' in project 'Pods' via options '-framework wakelock_plus' in build setting 'OTHER_LDFLAGS'
    Target 'Pods-Runner' in project 'Pods'
        ➜ Explicit dependency on target 'AppAuth' in project 'Pods'
        ➜ Explicit dependency on target 'AppCheckCore' in project 'Pods'
        ➜ Explicit dependency on target 'DKImagePickerController' in project 'Pods'
        ➜ Explicit dependency on target 'DKPhotoGallery' in project 'Pods'
        ➜ Explicit dependency on target 'Flutter' in project 'Pods'
        ➜ Explicit dependency on target 'GTMAppAuth' in project 'Pods'
        ➜ Explicit dependency on target 'GTMSessionFetcher' in project 'Pods'
        ➜ Explicit dependency on target 'GoogleSignIn' in project 'Pods'
